snomedConcept,snomedIdentifier,conditionName,predictedTag,confidence,sentence,source,support CNL1L2L3,support L1L2L3,L1,L2,L3
Primordial dwarfism (disorder),237837007,Restricted growth (dwarfism),PERMANENT,0.0011520737327188,"But most people don't have any other serious problems and are able to live a relatively normal life, with a normal life expectancy.",NHS,0.0001932740626207,0.1677618863548511,PERMANENT,,
Mastoiditis (disorder),52404001,Mastoiditis,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.0036231884057971,"If you're admitted to hospital for treatment, you'll need to stay in for a few days until an ENT specialists can be sure the infection is under control.",NHS,0.0001932740626207,0.0533436412833397,IMPROVE,FAST,FROM 1 DAY TO 1 WEEK
Suicidal (finding),267073005,Suicide and suicidal thoughts,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0031088082901554,You may save a life — your own or someone else's.,MAYO,0.0005798221878623,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY
Thromboangiitis obliterans (disorder),52403007,Buerger's disease,PERMANENT,0.0011520737327188,"Although no treatment can cure Buerger's disease, the most effective way to stop the disease from getting worse is to quit using all tobacco products.",MAYO,0.0001932740626207,0.1677618863548511,PERMANENT,,
Fibromuscular dysplasia of wall of artery (disorder),783729004,Fibromuscular dysplasia,PERMANENT,0.0023041474654377,"Treatments are available, but there isn't a cure for fibromuscular dysplasia.",MAYO,0.0003865481252415,0.1677618863548511,PERMANENT,,
Pili incarnati (disorder),9115004,Ingrown hair,IMPROVE SLOWLY FROM 2 MONTH TO 6 MONTH,0.0082644628099173,"To treat ingrown hairs, stop shaving, tweezing or waxing until the condition improves — usually one to six months.",MAYO,0.0001932740626207,0.0233861615771163,IMPROVE,SLOWLY,FROM 2 MONTH TO 6 MONTH
Dermatomyositis (disorder),396230008,Dermatomyositis,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.003690036900369,The signs and symptoms of dermatomyositis can appear suddenly or develop gradually over time.,MAYO,0.0001932740626207,0.0523772709702357,DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR
Fracture of phalanx of finger (disorder),18171007,Broken finger or thumb,IMPROVE SLOWLY FROM 6 MONTH TO 1 YEAR,0.006578947368421,It may be 3 to 4 months before full strength returns to your hand.,NHS,0.0001932740626207,0.029377657518361,IMPROVE,SLOWLY,FROM 6 MONTH TO 1 YEAR
Embryonal neuroepithelial neoplasm of central nervous system (disorder),734065009,Embryonal tumors,PERMANENT,0.0011520737327188,No alternative treatments have been proved to cure brain tumors.,MAYO,0.0001932740626207,0.1677618863548511,PERMANENT,,
Injury of anterior cruciate ligament (disorder),444470001,ACL injury,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.0075187969924812,Recent research indicates that up to one-third of athletes sustain another tear in the same or opposite knee within two years.,MAYO,0.0003865481252415,0.0514109006571318,IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR
Constipation (finding),14760008,Constipation,IMPROVE SLOWLY FROM 2 MONTH TO 6 MONTH,0.0082644628099173,Constipation may be considered chronic if you've experienced two or more of these symptoms for the last three months.,MAYO,0.0001932740626207,0.0233861615771163,IMPROVE,SLOWLY,FROM 2 MONTH TO 6 MONTH
Pyoderma gangrenosum (disorder),74578003,Pyoderma gangrenosum,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.0037593984962406,"Some people heal very slowly, over months or years",NHS,0.0001932740626207,0.0514109006571318,IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR
Allergy to dust mite protein (finding),232350006,Dust mite allergy,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0020725388601036,These side effects usually go away within 30 minutes.,MAYO,0.0003865481252415,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY
Hemopoietic stem cell transplant (procedure),234336002,Stem cell and bone marrow transplants,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.0037593984962406,You'll usually need to stay in hospital for a month or more until the transplant starts to take effect and it can take a year or 2 to fully recover,NHS,0.0001932740626207,0.0514109006571318,IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR
Umbilical hernia (disorder),396347007,Umbilical hernia,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.0037593984962406,"Children's umbilical hernias often close on their own in the first two years of life, though some remain open into the fifth year or longer.",MAYO,0.0001932740626207,0.0514109006571318,IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR
Disorder of kidney co-occurrent and due to diabetes mellitus (disorder),127013003,Diabetic nephropathy,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.007380073800738,"Over many years, the condition slowly damages your kidneys' delicate filtering system.",MAYO,0.0003865481252415,0.0523772709702357,DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR
Primary immunoglobulin A nephropathy (disorder),68779003,IgA nephropathy (Berger's disease),DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.007380073800738,"IgA nephropathy usually progresses slowly over years, but the course of the disease varies from person to person.",MAYO,0.0003865481252415,0.0523772709702357,DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR
Malignant tumor of vagina (disorder),363445000,Vaginal cancer,PERMANENT,0.0011520737327188,"If a cure isn't possible, treatment might help relieve the symptoms for several years",NHS,0.0001932740626207,0.1677618863548511,PERMANENT,,
Injury of posterior cruciate ligament (disorder),433162006,Posterior cruciate ligament injury,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.0025706940874035,"Although a posterior cruciate ligament injury generally causes less pain, disability and knee instability than does an ACL tear, it can still sideline you for several weeks or months.",MAYO,0.0001932740626207,0.0751836103594897,IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH
Achalasia (finding),48531003,Achalasia,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.007380073800738,Achalasia symptoms generally appear gradually and worsen over time.,MAYO,0.0003865481252415,0.0523772709702357,DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR
Partial thickness burn (disorder),403191005,Second degree burn,IMPROVE MODERATELY FROM 1 DAY TO 1 WEEK,0.0434782608695652,"Minor burns affecting the outer layer of skin and some of the underlying layer of tissue (superficial dermal burns) normally heal in around 14 days, leaving minimal scarring.",NHS,0.0001932740626207,0.0044453034402783,IMPROVE,MODERATELY,FROM 1 DAY TO 1 WEEK
Viral hepatitis type B (disorder),66071002,Hepatitis B,IMPROVE MODERATELY FROM 6 MONTH TO 1 YEAR,0.0217391304347826,"Most people recover completely in a couple of months, but you'll be advised to have regular blood tests to check that you're free of the virus and have not developed chronic hepatitis B.",NHS,0.0001932740626207,0.0088906068805566,IMPROVE,MODERATELY,FROM 6 MONTH TO 1 YEAR
Fibrous dysplasia of bone (disorder),10623005,Fibrous dysplasia,PERMANENT,0.0011520737327188,There's no cure for the disorder.,MAYO,0.0001932740626207,0.1677618863548511,PERMANENT,,
Medial epicondylitis of elbow joint (disorder),53286005,Golfer's elbow,IMPROVE SLOWLY FROM 6 MONTH TO 1 YEAR,0.006578947368421,"But if your signs and symptoms don't respond to conservative treatment in six to 12 months, surgery might be an option.",MAYO,0.0001932740626207,0.029377657518361,IMPROVE,SLOWLY,FROM 6 MONTH TO 1 YEAR
Sprain of ligament (disorder),398878007,Sprains,IMPROVE MODERATELY FROM 6 MONTH TO 1 YEAR,0.0217391304347826,Recovery from sprains can take days to months.,MAYO,0.0001932740626207,0.0088906068805566,IMPROVE,MODERATELY,FROM 6 MONTH TO 1 YEAR
Genus Ebolavirus (organism),424206003,Ebola virus and Marburg virus,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.0025706940874035,"It may take months to regain weight and strength, and the viruses remain in the body for weeks.",MAYO,0.0001932740626207,0.0751836103594897,IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH
Congenital herpes simplex (disorder),91576008,Neonatal herpes (herpes in a baby),IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.0025706940874035,This treatment may be needed for several weeks.,NHS,0.0001932740626207,0.0751836103594897,IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH
Autopsy examination (procedure),29240004,Post-mortem,DECLINE FAST FROM 1 DAY TO 1 WEEK,0.0555555555555555,"A post-mortem will be carried out as soon as possible, usually within 2 to 3 working days of a person's death.",NHS,0.0001932740626207,0.0034789331271743,DECLINE,FAST,FROM 1 DAY TO 1 WEEK
Angioedema (disorder),41291007,Angioedema,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.0036231884057971,"The swelling will usually get better by itself in a few days, but there are treatments that can help it settle faster and reduce the risk of it happening again.",NHS,0.0001932740626207,0.0533436412833397,IMPROVE,FAST,FROM 1 DAY TO 1 WEEK
Complete avulsion of tooth (disorder),109671008,Knocked-out tooth,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0016181229773462,You'll probably need to go back after a couple of weeks to have the splint removed.,NHS,0.0001932740626207,0.1194433706996521,IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH
Hemangioma (disorder),400210000,Hemangioma,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0016181229773462,"Many hemangiomas disappear by age 5, and most are gone by age 10. The skin may be slightly discolored or raised after the hemangioma goes away.",MAYO,0.0001932740626207,0.1194433706996521,IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH
Retinal disorder (disorder),29555009,Retinal diseases,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518,"Having a retinal condition can be difficult, and you may need to make changes in your life.",MAYO,0.0001932740626207,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY
Delirium (disorder),2776000,Delirium,DECLINE FAST FROM 1 DAY TO 1 WEEK,0.0555555555555555,Signs and symptoms of delirium usually begin over a few hours or a few days.,MAYO,0.0001932740626207,0.0034789331271743,DECLINE,FAST,FROM 1 DAY TO 1 WEEK
BRCA2 mutation carrier detection test (procedure),405826006,Genetic test for cancer gene,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0016181229773462,"It takes 4 to 8 weeks to get the result, but this is not fully predictive as a negative test, so cannot rule out that the problem in relatives is due to a different gene",NHS,0.0001932740626207,0.1194433706996521,IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH
Cradle cap (disorder),62742006,Cradle cap,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0020725388601036,"Cradle cap usually doesn't require medical treatment, as it usually goes away on its own.",MAYO,0.0003865481252415,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY
Retinal detachment (disorder),42059000,Retinal detachment,IMPROVE SLOWLY FROM 6 MONTH TO 1 YEAR,0.006578947368421,After surgery your vision may take several months to improve.,MAYO,0.0001932740626207,0.029377657518361,IMPROVE,SLOWLY,FROM 6 MONTH TO 1 YEAR
Carcinoma of prostate (disorder),254900004,Prostate cancer,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.007380073800738,"It usually develops slowly, so there may be no signs for many years",NHS,0.0003865481252415,0.0523772709702357,DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR
Impacted cerumen (disorder),18070006,Earwax build-up,IMPROVE FAST FROM 8 DAY TO 2 MONTH,0.05,The earwax should fall out on its own or dissolve after about a week,NHS,0.0001932740626207,0.0038654812524159,IMPROVE,FAST,FROM 8 DAY TO 2 MONTH
Limp occurring during childhood (finding),88121000119101,Limping in children,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.003690036900369,"This usually happens gradually over time and tends to affect older children, although it can suddenly happen as the result of an injury.",NHS,0.0001932740626207,0.0523772709702357,DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR
Myocarditis (disorder),50920009,Myocarditis,IMPROVE SLOWLY FROM 6 MONTH TO 1 YEAR,0.006578947368421,"Some people might have chronic and irreversible damage to the heart muscle requiring lifelong medications, while other people need medications for just a few months and then recover completely.",MAYO,0.0001932740626207,0.029377657518361,IMPROVE,SLOWLY,FROM 6 MONTH TO 1 YEAR
Anaplasmosis (disorder),13906002,Ehrlichiosis,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.0037593984962406,"These methods may make matters worse by triggering the tick to release more of its bodily fluids, and that could cause further infection.",MAYO,0.0001932740626207,0.0514109006571318,IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR
Cataract (morphologic abnormality),128306009,Cataracts,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0016181229773462,Healing generally occurs within eight weeks.,MAYO,0.0001932740626207,0.1194433706996521,IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH
Malignant tumor of larynx (disorder),363429002,Laryngeal (larynx) cancer,IMPROVE MODERATELY FROM 6 MONTH TO 1 YEAR,0.0217391304347826,"Having a stoma can seem daunting and frightening at first, but most people get used to it after a few months",NHS,0.0001932740626207,0.0088906068805566,IMPROVE,MODERATELY,FROM 6 MONTH TO 1 YEAR
Posterior cortical atrophy syndrome (disorder),715574002,Posterior cortical atrophy,PERMANENT,0.0011520737327188,"Posterior cortical atrophy can't be cured, but your doctor can help you manage your condition.",MAYO,0.0001932740626207,0.1677618863548511,PERMANENT,,
Bullous pemphigoid (disorder),77090002,Bullous pemphigoid,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.0112781954887218,"Bullous pemphigoid often goes away on its own in a few months, but may take as many as five years to resolve.",MAYO,0.0005798221878623,0.0514109006571318,IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR
Deviated nasal septum (disorder),126660000,Deviated septum,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518,You may be able to prevent the injuries to your nose that can cause a deviated septum with these precautions:,MAYO,0.0001932740626207,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY
Female genital mutilation (disorder),95041000119101,Female genital mutilation (FGM),IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518,It's usually performed under local anaesthetic in a clinic and you will not normally need to stay overnight.,NHS,0.0001932740626207,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY
Fever (finding),386661006,Fever,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.0036231884057971,Fevers generally go away within a few days.,MAYO,0.0001932740626207,0.0533436412833397,IMPROVE,FAST,FROM 1 DAY TO 1 WEEK
Blood test (procedure),396550006,Blood tests,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.0036231884057971,"Bruises can be painful, but are usually harmless and fade over the next few days",NHS,0.0001932740626207,0.0533436412833397,IMPROVE,FAST,FROM 1 DAY TO 1 WEEK
Paralysis (finding),44695005,Paralysis,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.0025706940874035,"paralysis that starts in the weeks, months or years after a tick bite – Lyme disease",NHS,0.0001932740626207,0.0751836103594897,IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH
Erectile dysfunction (disorder),860914002,Erectile dysfunction,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0020725388601036,"erection usually starts within 10 minutes and, when effective, lasts between 30 and 60 minutes.",MAYO,0.0003865481252415,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY
Cholangiocarcinoma of biliary tract (disorder),312104005,Bile duct cancer (cholangiocarcinoma),PERMANENT,0.0023041474654377,"The aim of these operations is to help improve your symptoms and help you live longer, not to cure the cancer.",NHS,0.0003865481252415,0.1677618863548511,PERMANENT,,
Actinic keratosis (disorder),201101007,Actinic keratosis,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.003690036900369,"These patches take years to develop, usually first appearing in people over 40.",MAYO,0.0001932740626207,0.0523772709702357,DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR
Nontraumatic exertional compartment syndrome (disorder),427458001,Chronic exertional compartment syndrome,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0020725388601036,Chronic exertional compartment syndrome may respond to nonoperative treatment and activity modification.,MAYO,0.0003865481252415,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY
Kwashiorkor (disorder),58262005,Kwashiorkor,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0016181229773462,The treatment usually takes 2 to 6 weeks.,NHS,0.0001932740626207,0.1194433706996521,IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH
Epidermolysis bullosa (disorder),61003004,Epidermolysis bullosa,PERMANENT,0.0023041474654377,"There's currently no cure for epidermolysis bullosa (EB), but treatment can help ease and control symptoms.",NHS,0.0003865481252415,0.1677618863548511,PERMANENT,,
Dependent drug abuse (disorder),6525002,Drug addiction (substance use disorder),PERMANENT,0.0023041474654377,"Long-term, MDMA can damage the brain.",MAYO,0.0003865481252415,0.1677618863548511,PERMANENT,,
Occupational asthma (disorder),57607007,Occupational asthma,PERMANENT,0.0011520737327188,The best way to prevent occupational asthma is for workplaces to control the workers' level of exposure to chemicals and other substances that may be sensitizers or irritants.,MAYO,0.0001932740626207,0.1677618863548511,PERMANENT,,
Amniocentesis (procedure),34536000,Amniocentesis,IMPROVE MODERATELY FROM 6 MONTH TO 1 YEAR,0.0217391304347826,"Amniocentesis is usually carried out between the 15th and 20th weeks of pregnancy, but you can have it later if necessary.",NHS,0.0001932740626207,0.0088906068805566,IMPROVE,MODERATELY,FROM 6 MONTH TO 1 YEAR
