snomedConcept,snomedIdentifier,descendantId,descendantConcept,query,propagation
Psoriatic arthritis (disorder),156370009,239812005,Psoriatic arthritis with distal interphalangeal joint involvement (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<39937001|Skin structure (body structure)|,116676008|Associated morphology (attribute)| = 409774005|Inflammatory morphology (morphologic abnormality)|} AND [1..1]{363698007|Finding site (attribute)| = <<361367007|Entire digit (body structure)|,116676008|Associated morphology (attribute)| = 409774005|Inflammatory morphology (morphologic abnormality)|} AND [1..1]{363698007|Finding site (attribute)| = <<410054009|Structure of enthesis (body structure)|,116676008|Associated morphology (attribute)| = 409774005|Inflammatory morphology (morphologic abnormality)|} AND [1..1]{363698007|Finding site (attribute)| = <<39723000|Sacroiliac joint structure (body structure)|,116676008|Associated morphology (attribute)| = 409774005|Inflammatory morphology (morphologic abnormality)|} AND [1..1]{363698007|Finding site (attribute)| = <<8983005|Joint structure of spine (body structure)|,116676008|Associated morphology (attribute)| = 409774005|Inflammatory morphology (morphologic abnormality)|} AND [1..1]{370135005|Pathological process (attribute)| = 472963003|Hypersensitivity process (qualifier value)|} AND [1..1]{370135005|Pathological process (attribute)| = 769247005|Abnormal immune process (qualifier value)|})&limit=7000",3
Acute sinusitis (disorder),15805002,725917007,Acute sinusitis caused by virus (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<2095001|Nasal sinus structure (body structure)|,116676008|Associated morphology (attribute)| = 4532008|Acute inflammation (morphologic abnormality)|} AND [1..1]{263502005|Clinical course (attribute)| = 424124008|Sudden onset AND/OR short duration (qualifier value)|})&limit=7000",10
Albinism (disorder),15890002,366961000119106,Albinism co-occurrent with hematologic disorder (disorder),"(*):  ([1..1]{246454002|Occurrence (attribute)| = 255399007|Congenital (qualifier value)|,116676008|Associated morphology (attribute)| = 37257004|Decreased melanin pigmentation (morphologic abnormality)|,370135005|Pathological process (attribute)| = 308490002|Pathological developmental process (qualifier value)|})&limit=7000",18
Fracture of ankle (disorder),16114001,735847004,Fracture of distal fibula above syndesmosis (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<33696004|Bone structure of ankle (body structure)|,116676008|Associated morphology (attribute)| = 72704001|Fracture (morphologic abnormality)|})&limit=7000",15
Pain in throat (finding),162397003,3331000119108,Laryngeal dystonia (disorder),(*):  ([1..1]{363698007|Finding site (attribute)| = <<45048000|Neck structure (body structure)|} AND [1..1]{363698007|Finding site (attribute)| = <<69536005|Head structure (body structure)|})&limit=7000,169
Splenomegaly (disorder),16294009,771511005,Thrombocythemia with distal limb defect (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<181279003|Entire spleen (body structure)|,116676008|Associated morphology (attribute)| = 442021009|Enlargement (morphologic abnormality)|})&limit=7000",14
Dry skin (finding),16386004,827180003,Dry skin of abdomen (finding),(*):  ([1..1]{363698007|Finding site (attribute)| = <<39937001|Skin structure (body structure)|} AND [1..1]{363714003|Interprets (attribute)| = 364532007|Moistness of skin (observable entity)|})&limit=7000,19
Urinary incontinence (finding),165232002,117541000119106,Urinary incontinence due to benign prostatic hypertrophy (finding),"(*):  ([1..1]{363714003|Interprets (attribute)| = 129009001|Bladder control, function (observable entity)|} AND [1..1]{363698007|Finding site (attribute)| = <<19787009|Lower urinary tract structure (body structure)|})&limit=7000",40
Yellow fever (disorder),16541001,197342009,Hepatitis in yellow fever (disorder),"(*):  ([1..1]{116676008|Associated morphology (attribute)| = 43865008|Acute hemorrhagic inflammation (morphologic abnormality)|,370135005|Pathological process (attribute)| = 441862004|Infectious process (qualifier value)|,246075003|Causative agent (attribute)| = 26630006|Yellow fever virus (organism)|})&limit=7000",4
Transverse myelopathy syndrome (disorder),16631009,1086061000119109,Diphtheria radiculomyelitis (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<2748008|Spinal cord structure (body structure)|,116676008|Associated morphology (attribute)| = 409774005|Inflammatory morphology (morphologic abnormality)|})&limit=7000",76
Esophagitis (disorder),16761005,860872005,Esophagitis due to human immunodeficiency virus disease (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<32849002|Esophageal structure (body structure)|,116676008|Associated morphology (attribute)| = 409774005|Inflammatory morphology (morphologic abnormality)|})&limit=7000",30
Barium enema (procedure),168836005,414301000119107,Defecography with barium enema (procedure),"(*):  ([1..1]{260686004|Method (attribute)| = <<278110001|Radiographic imaging - action (qualifier value)|,405813007|Procedure site - Direct (attribute)| = <<71854001|Colon structure (body structure)|,424361007|Using substance (attribute)| = 56958004|Barium compound (substance)|})&limit=7000",14
Child examination: eyes (procedure),170195005,669281000168106,Defense force preliminary pre-deployment medical examination (procedure),"(*):  ([1..1]{260686004|Method (attribute)| = <<302199004|Examination - action (qualifier value)|,363704007|Procedure site (attribute)| = <<442083009|Anatomical or acquired body structure (body structure)|})&limit=7000",303
Simple mastectomy (procedure),172043006,836437004,Simple mastectomy of left breast using robotic assistance (procedure),"(*):  ([1..1]{260686004|Method (attribute)| = 129304002|Excision - action (qualifier value)|,405813007|Procedure site - Direct (attribute)| = <<76752008|Breast structure (body structure)|})&limit=7000",84
Miscarriage (disorder),17369002,16836851000119109,Miscarriage of right tubal ectopic pregnancy (disorder),(*):  ([1..1]{363714003|Interprets (attribute)| = 364320009|Pregnancy observable (observable entity)|} AND [1..1]{42752001|Due to (attribute)| = 789750003|Spontaneous event (event)|})&limit=7000,94
Toxic effect of carbon monoxide (disorder),17383000,420057003,Accidental poisoning caused by carbon monoxide (disorder),(*):  ([1..1]{246075003|Causative agent (attribute)| = 51765001|Carbon monoxide (substance)|} AND [1..1]{246075003|Causative agent (attribute)| = 74947009|Gaseous substance (substance)|})&limit=7000,24
Infection caused by Naegleria (disorder),17723000,406596001,Naegleria infection of the central nervous system (disorder),"(*):  ([1..1]{370135005|Pathological process (attribute)| = 442614005|Parasitic process (qualifier value)|,246075003|Causative agent (attribute)| = 18441007|Naegleria (organism)|})&limit=7000",2
Transplantation of liver (procedure),18027006,174427006,Replacement of previous liver transplant (procedure),"(*):  ([1..1]{260686004|Method (attribute)| = 410820007|Surgical transplantation - action (qualifier value)|,405814001|Procedure site - Indirect (attribute)| = 10200004|Liver structure (body structure)|,363701004|Direct substance (attribute)| = 421751001|Liver graft - material (substance)|})&limit=7000",6
Direct current cardioversion (procedure),180325003,703984002,Monophasic cardioversion procedure (procedure),"(*):  ([1..1]{260686004|Method (attribute)| = 360226008|Electrical discharge - action (qualifier value)|,405813007|Procedure site - Direct (attribute)| = <<80891009|Heart structure (body structure)|,424244007|Using energy (attribute)| = 256241002|Direct current (physical force)|} AND [1..1]{363702006|Has focus (attribute)| = 698247007|Cardiac arrhythmia (disorder)|})&limit=7000",15
Impacted cerumen (disorder),18070006,18070006,Impacted cerumen (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<84301002|External auditory canal structure (body structure)|,116676008|Associated morphology (attribute)| = 61494005|Impaction (morphologic abnormality)|} AND [1..1]{363714003|Interprets (attribute)| = 247250003|Contents of ear canal (observable entity)|})&limit=7000",1
Fracture of phalanx of finger (disorder),18171007,788942009,Fracture of phalanx of ring finger (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<282823009|Bone structure of phalanx of finger (body structure)|,116676008|Associated morphology (attribute)| = 72704001|Fracture (morphologic abnormality)|})&limit=7000",11
Exophthalmos (disorder),18265008,719519007,Benign exophthalmos syndrome (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<363654007|Structure of orbit proper (body structure)|,116676008|Associated morphology (attribute)| = 76093008|Anterior displacement (morphologic abnormality)|})&limit=7000",14
Catheter ablation of tissue of heart (procedure),18286008,870252007,Ventricular tachycardia ablation (procedure),"(*):  ([1..1]{260686004|Method (attribute)| = 257729003|Ablation - action (qualifier value)|,405813007|Procedure site - Direct (attribute)| = <<80891009|Heart structure (body structure)|,424226004|Using device (attribute)| = 19923001|Catheter, device (physical object)|})&limit=7000",4
Microcephalus (disorder),1829003,1003374009,Microlissencephaly (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<12738006|Brain structure (body structure)|,116676008|Associated morphology (attribute)| = 41086002|Congenital smallness (morphologic abnormality)|})&limit=7000",91
Toxic shock syndrome (disorder),18504008,18504008,Toxic shock syndrome (disorder),"(*):  ([1..1]{370135005|Pathological process (attribute)| = 441862004|Infectious process (qualifier value)|,246075003|Causative agent (attribute)| = 8745002|Gram-positive bacterium (organism)|} AND [1..1]{263502005|Clinical course (attribute)| = 424124008|Sudden onset AND/OR short duration (qualifier value)|})&limit=7000",1
Chronic obstructive bronchitis (disorder),185086009,185086009,Chronic obstructive bronchitis (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<955009|Bronchial structure (body structure)|,116676008|Associated morphology (attribute)| = 84499006|Chronic inflammation (morphologic abnormality)|} AND [1..1]{363698007|Finding site (attribute)| = <<955009|Bronchial structure (body structure)|,116676008|Associated morphology (attribute)| = 26036001|Obstruction (morphologic abnormality)|} AND [1..1]{263502005|Clinical course (attribute)| = 90734009|Chronic (qualifier value)|})&limit=7000",1
Clostridioides difficile infection (disorder),186431008,5891000119102,Clostridium difficile diarrhea (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<113276009|Intestinal structure (body structure)|,370135005|Pathological process (attribute)| = 441862004|Infectious process (qualifier value)|,246075003|Causative agent (attribute)| = 5933001|Clostridioides difficile (organism)|})&limit=7000",5
Epidemic vertigo (disorder),186738001,1092311000119106,Vestibular neuronitis of right inner ear (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<45006007|Vestibular structure of inner ear (body structure)|} AND [1..1]{363698007|Finding site (attribute)| = <<81686004|Vestibular nerve structure (body structure)|,116676008|Associated morphology (attribute)| = 49755003|Morphologically abnormal structure (morphologic abnormality)|})&limit=7000",4
Parvovirus infection (disorder),186748004,715197005,Fetal parvovirus syndrome (disorder),"(*):  ([1..1]{370135005|Pathological process (attribute)| = 441862004|Infectious process (qualifier value)|,246075003|Causative agent (attribute)| = 11970002|Genus Parvovirus (organism)|})&limit=7000",4
Rocky Mountain spotted fever (disorder),186772009,240616003,Eastern Rocky Mountain spotted fever (disorder),"(*):  ([1..1]{370135005|Pathological process (attribute)| = 441862004|Infectious process (qualifier value)|,246075003|Causative agent (attribute)| = 18054009|Rickettsia rickettsii (organism)|})&limit=7000",3
Q fever (disorder),186788009,409556004,Q fever encephalitis (disorder),"(*):  ([1..1]{370135005|Pathological process (attribute)| = 441862004|Infectious process (qualifier value)|,246075003|Causative agent (attribute)| = 22533000|Coxiella burnetii (organism)|})&limit=7000",10
Cutaneous schistosomiasis (disorder),187115002,187115002,Cutaneous schistosomiasis (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<39937001|Skin structure (body structure)|,370135005|Pathological process (attribute)| = 442614005|Parasitic process (qualifier value)|,246075003|Causative agent (attribute)| = 53583001|Schistosoma (organism)|})&limit=7000",4
Toxoplasmosis (disorder),187192000,15678081000119103,Choroiditis of right eye caused by Toxoplasma gondii (disorder),"(*):  ([1..1]{370135005|Pathological process (attribute)| = 442614005|Parasitic process (qualifier value)|,246075003|Causative agent (attribute)| = 4649006|Toxoplasma gondii (organism)|})&limit=7000",27
Malignant tumor of nasopharynx (disorder),187692001,709031009,Malignant neoplasm of superior wall of nasopharynx (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<71836000|Nasopharyngeal structure (body structure)|,116676008|Associated morphology (attribute)| = 367651003|Malignant neoplasm of primary, secondary, or uncertain origin (morphologic abnormality)|})&limit=7000",10
Cyclical vomiting syndrome (disorder),18773000,294001000119105,Intractable cyclical vomiting syndrome (disorder),(*):  ([1..1]{263502005|Clinical course (attribute)| = 44180009|Cyclic (qualifier value)|} AND [1..1]{363698007|Finding site (attribute)| = <<122865005|Gastrointestinal tract structure (body structure)|})&limit=7000,3
Corticobasal degeneration (disorder),18842008,18842008,Corticobasal degeneration (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<32610002|Basal ganglion structure (body structure)|,116676008|Associated morphology (attribute)| = 107669003|Degenerative abnormality (morphologic abnormality)|} AND [1..1]{363698007|Finding site (attribute)| = <<40146001|Structure of cerebral cortex (body structure)|,116676008|Associated morphology (attribute)| = 107669003|Degenerative abnormality (morphologic abnormality)|})&limit=7000",1
